,college,State,City,Is Open Admission,Has Data,Average GPA,GPA Standard Deviation,Acceptance Rate,SAT Reading 25th,SAT Math 25th,SAT Composite 25th,SAT Reading 75th,SAT Math 75th,SAT Composite 75th,Average SAT Score,1st Rank SAT,2nd Rank SAT,3rd Rank SAT,4th Rank SAT,5th Rank SAT,ACT Reading SAT25th,ACT Math 25th,ACT Composite 25th,ACT Reading 75th,ACT Math 75th,ACT Composite 75th,Average ACT Score,1st Rank ACT,2nd Rank ACT,3rd Rank ACT,4th Rank ACT,5th Rank ACT,Average Class Rank,Class Rank Standard Deviation,1st Rank SAT Level,2nd Rank SAT Level,3rd Rank SAT Level,4th Rank SAT Level,1st Rank ACT Level,2nd Rank ACT Level,3rd Rank ACT Level,4th Rank ACT Level,Test Scores,High School GPA,High School Class Rank,Completion of College Preparatory Program,Recommendations,Demonstration of Competencies,AP Credit,Dual Credit,Credit for Life Experiences
1293,Onondaga Community College,New York,Syracuse,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.04625918336701,14.21110134722262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1294,Oral Roberts University,Oklahoma,Tulsa,False,True,3.49,0.494,68.3,498,490,988,630,610,1240,1110,78,68,56,42,42,18,17,18,26,25,25,21,80,68,57,46,46,68.991,0.533,1240,1114,988,862,25,21,18,15,Required,Required,Considered but not required,Recommended,Considered but not required,Neither required nor recommended,Yes,Yes,Yes
1295,Orange Coast College,California,Costa Mesa,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.991,0.533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1296,Orange County Community College,New York,Middletown,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.991,0.533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1297,Orangeburg Calhoun Technical College,South Carolina,Orangeburg,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.991,0.533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1298,Oregon Coast Community College,Oregon,Newport,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.991,0.533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1299,Oregon Institute of Technology,Oregon,Klamath Falls,False,True,3.434,0.549,97.1,500,500,1000,600,600,1200,1100,98,97,95,92,92,17,20,20,24,26,26,23,98,97,95,92,92,63.09738100333354,13.046926978722071,1200,1100,1000,900,26,23,20,17,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1300,Oregon State University,Oregon,Corvallis,False,True,3.555,0.55,82.3,550,530,1080,660,660,1320,1200,89,82,73,61,61,20,20,21,28,28,28,24,89,82,74,65,65,73.298,0.5640000000000001,1320,1200,1080,960,28,24,21,18,Required,Required,Recommended,Required,Neither required nor recommended,Recommended,Yes,Yes,No
1301,Otero Junior College,Colorado,La Junta,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.298,0.5640000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1302,Ottawa University-Ottawa,Kansas,Ottawa,False,True,3.145,0.55,14.5,440,450,890,530,530,1060,980,23,15,9,6,6,15,16,17,21,21,22,19,25,15,10,7,7,62.601800808061164,11.602246158548965,1060,975,890,805,22,19,17,15,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
1303,Otterbein University,Ohio,Westerville,False,True,3.5,0.5730000000000001,80.1,540,515,1055,640,610,1250,1150,87,80,70,58,58,19,19,20,26,26,27,23,88,80,72,62,62,73.818,0.45,1250,1152,1055,958,27,23,20,17,Required,Recommended,Recommended,Recommended,Required,Recommended,Yes,Yes,No
1304,Ouachita Baptist University,Arkansas,Arkadelphia,False,True,3.521,0.488,61.4,530,530,1060,630,620,1250,1160,73,61,48,35,35,21,19,21,31,27,28,24,74,61,50,39,39,71.974,0.47200000000000003,1250,1155,1060,965,28,24,21,18,Required,Required,Recommended,Recommended,Neither required nor recommended,Recommended,Yes,Yes,No
1305,Owens Community College,Ohio,Perrysburg,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1306,Owensboro Community and Technical College,Kentucky,Owensboro,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1307,Oxnard College,California,Oxnard,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1308,Ozark Christian College,Missouri,Joplin,True,False,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1309,Ozarka College,Arkansas,Melbourne,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1310,Ozarks Technical Community College,Missouri,Springfield,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1311,Pacific College of Oriental Medicine-New York,New York,New York,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.974,0.47200000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1312,Pacific Lutheran University,Washington,Tacoma,False,True,3.638,0.401,86,550,530,1080,650,640,1290,1190,91,86,78,68,68,23,22,24,31,27,29,26,92,86,80,72,72,79.238,0.436,1290,1185,1080,975,29,26,24,22,Considered but not required,Required,Considered but not required,Recommended,Required,Neither required nor recommended,Yes,Yes,No
1313,Pacific States University,California,Los Angeles,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.238,0.436,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1314,Pacific Union College,California,Angwin,False,True,3.387,0.577,53.3,470,460,930,600,590,1190,1060,66,53,40,28,28,17,16,17,24,24,25,21,66,53,40,28,28,63.64068841387944,10.228457951654018,1190,1060,930,800,25,21,17,13,Required,Required,Recommended,Recommended,Considered but not required,Recommended,Yes,Yes,No
1315,Pacific University,Oregon,Forest Grove,False,True,3.585,0.528,86.6,540,520,1060,630,630,1260,1160,92,87,80,70,70,19,19,20,25,26,26,23,92,87,80,70,70,77.575,0.558,1260,1160,1060,960,26,23,20,17,Required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
1316,Paier College of Art Inc,Connecticut,Hamden,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.575,0.558,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1317,Paine College,Georgia,Augusta,False,True,2.866,0.494,64.9,410,388,798,483,460,943,870,76,65,52,39,39,12,15,14,18,16,17,15,79,65,57,48,48,51.302,0.41500000000000004,943,870,798,726,17,15,14,13,Required,Required,Neither required nor recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,Yes
1318,Palm Beach State College,Florida,Lake Worth,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1319,Palo Alto College,Texas,San Antonio,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1320,Palo Verde College,California,Blythe,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1321,Palomar College,California,San Marcos,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1322,Pamlico Community College,North Carolina,Grantsboro,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1323,Panola College,Texas,Carthage,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1324,Paradise Valley Community College,Arizona,Phoenix,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1325,Paris Junior College,Texas,Paris,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1326,Parkland College,Illinois,Champaign,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1327,Pasadena City College,California,Pasadena,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1328,Passaic County Community College,New Jersey,Paterson,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1329,Patrick Henry Community College,Virginia,Martinsville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1330,Paul D Camp Community College,Virginia,Franklin,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.302,0.41500000000000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1331,Paul Quinn College,Texas,Dallas,False,True,2.974,0.451,79.2,410,390,800,480,430,910,860,86,79,69,57,57,12,15,15,17,18,19,17,86,79,69,57,57,65.13025841407821,10.49017329358481,910,855,800,745,19,17,15,13,Required,Required,Recommended,Recommended,Required,Required,Yes,Yes,No
1332,Peirce College,Pennsylvania,Philadelphia,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.13025841407821,10.49017329358481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1333,Peninsula College,Washington,Port Angeles,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.13025841407821,10.49017329358481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1334,Pennsylvania College of Technology,Pennsylvania,Williamsport,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.13025841407821,10.49017329358481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1335,Pennsylvania Highlands Community College,Pennsylvania,Johnstown,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.13025841407821,10.49017329358481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1336,Pennsylvania Institute of Technology,Pennsylvania,Media,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.13025841407821,10.49017329358481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1337,Pennsylvania State University-Main Campus,Pennsylvania,University Park,False,True,3.592,0.492,75.9,540,530,1070,640,670,1310,1190,84,76,65,52,52,22,23,23,30,29,30,26,85,76,67,56,56,83.401,0.521,1310,1190,1070,950,30,26,23,20,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
1338,Pensacola State College,Florida,Pensacola,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.401,0.521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1339,Pepperdine University,California,Malibu,False,True,3.58,0.531,31.7,610,620,1230,700,750,1450,1340,44,32,22,14,14,28,25,27,35,30,32,29,47,32,24,17,17,84.843,0.41400000000000003,1450,1340,1230,1120,32,29,27,25,Required,Required,Neither required nor recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
1340,Peru State College,Nebraska,Peru,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.843,0.41400000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1341,Pfeiffer University,North Carolina,Misenheimer,False,True,3.278,0.5670000000000001,63.8,460,455,915,570,570,1140,1030,75,64,51,38,38,14,17,16,22,23,23,19,77,64,53,42,42,61.458,0.418,1140,1027,915,803,23,19,16,13,Considered but not required,Required,Considered but not required,Recommended,Recommended,Recommended,Yes,Yes,No
1342,Phillips Community College of the University of Arkansas,Arkansas,Helena,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1343,Phoenix College,Arizona,Phoenix,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1344,Piedmont Community College,North Carolina,Roxboro,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1345,Piedmont Technical College,South Carolina,Greenwood,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1346,Piedmont Virginia Community College,Virginia,Charlottesville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1347,Pierpont Community and Technical College,West Virginia,Fairmont,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1348,Pikes Peak Community College,Colorado,Colorado Springs,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1349,Pima Community College,Arizona,Tucson,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1350,Pinnacle Career Institute-South Kansas City,Missouri,Kansas City,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1351,Pioneer Pacific College,Oregon,Wilsonville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1352,Pitt Community College,North Carolina,Winterville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.458,0.418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1353,Pittsburg State University,Kansas,Pittsburg,False,True,3.386,0.437,95.6,478,438,916,600,585,1185,1050,98,96,93,89,89,17,17,19,24,24,24,21,98,96,94,91,91,65.516,0.44,1185,1050,916,782,24,21,19,17,Considered but not required,Required,Considered but not required,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
1354,Pittsburgh Institute of Aeronautics,Pennsylvania,West Mifflin,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.516,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1355,Platt College-Los Angeles,California,Alhambra,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.516,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1356,Platt College-Ontario,California,Ontario,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.516,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1357,Platt College-San Diego,California,San Diego,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.516,0.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1358,Point Loma Nazarene University,California,San Diego,False,True,3.646,0.451,73.7,580,560,1140,650,660,1310,1230,83,74,63,50,50,23,23,24,31,28,29,26,84,74,65,55,55,76.308,0.441,1310,1225,1140,1055,29,26,24,22,Required,Required,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
1359,Point Park University,Pennsylvania,Pittsburgh,False,True,3.286,0.424,73.1,500,480,980,610,580,1190,1090,82,73,61,48,48,19,17,19,27,25,26,22,83,73,63,52,52,61.7,0.5630000000000001,1190,1085,980,875,26,22,19,16,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
